name,slug,latitude,longitude
Vélotte-et-Tatignecourt,velotte-et-tatignecourt,48.261475,6.164487
Bagnoles-de-l’Orne Office de Tourisme,bagnoles-de-lorne-office-de-tourisme,48.55437,-0.410609
St-Nabord,st-nabord,48.0461722,6.5818945
Hielle—Rupt,hielle-rupt,47.968714,6.635522
Maxonchamp,maxonchamp,47.945783,6.63269
Dommartin,dommartin,48,6.65
Ste-Marguerite—Remomeix,ste-marguerite-remomeix,48.260342,6.980995
Blanchifontaine,blanchifontaine,48.339142,6.656682
Frémifontaine,fremifontaine,48.266667,6.683333
La Bresse,la-bresse,48,6.883333
Laneuveville-aux-Bois,laneuveville-aux-bois,48.616667,6.65
Vallois,vallois,48.468442,6.564112
Greux,greux,48.45,5.683333
Goussaincourt,goussaincourt,48.4838491258133,5.69331049919128
Burey-la-Côte,burey-la-cote,48.5,5.7
Taillancourt,taillancourt,,
Montbré,montbre,49.1942075,4.0388482
Trois-Puits,trois-puits,49.2067481,4.0384678
Muizon,muizon,49.2781012,3.8915287
Jonchery-sur-Vesle,jonchery-sur-vesle,49.290057,3.819422
Breuil-Romain,breuil-romain,49.3084141,3.7665322
Fismes,fismes,49.310665,3.68213
Bazoches,bazoches,49.30518,3.6163588
Mont-Notre-Dame,mont-notre-dame,49.2967797,3.5764545
Fère-en-Tardenois,fere-en-tardenois,49.2085631,3.5042685
Dormans,dormans,49.0791611,3.641709
Aÿ,ay,49.0487318,4.0015644
Avenay,avenay,49.0647826,4.043689
Germaine,germaine,49.1277634,4.0228976
Rilly-la-Montagne,rilly-la-montagne,49.1664524,4.0408608
Val-de-Vesle,val-de-vesle,49.17792,4.22221
Prunay,prunay,49.1988,4.18364
Sillery,sillery,49.20324,4.14427
Sept-Saulx,sept-saulx,49.1511332,4.2569742
Mairy-sur-Marne,mairy-sur-marne,48.866667,4.416667
Courcy-Brimont,courcy-brimont,49.3296003,4.0134623
Loivre,loivre,49.3466786,3.9906699
Guignicourt,guignicourt,49.434862,3.961334
Amifontaine,amifontaine,49.4847322,3.9105811
St-Erme,st-erme,49.5269865,3.8576502
Coucy-lès-Eppes,coucy-les-eppes,49.556282,3.7748209
Nouzonville,nouzonville,49.8120125,4.7428155
Joigny-sur-Meuse,joigny-sur-meuse,49.8336807,4.7672389
Bogny-sur-Meuse,bogny-sur-meuse,49.8583117,4.7632317
